id,name,city,score,number_of_products
2886,آرتاکالا,تهران,5,6
2887,ژیوان,تهران,5,8
2888,موبتاز,بانه,5,4
2889,بارسل,تهران,5,4
2890,نورلند,گرگان,5,2
2891,نیکی نک,مشهد,5,1
2892,شهر فافا,تهران,5,7
2893,مای همراه,اصفهان,5,5
2894,دیجی ماژ,شهریار,5,3
2895,مهراگین,تهران,5,9
2896,فروش 247,تهران,5,10
2897,رویال تِک,صومعه سرا,5,4
2898,آریامن,تهران,5,5
2899,ببرکالا,تهران,5,7
2900,آف موبایل,شهرپیر,5,6
2901,دیجی رایکا,شهریار,5,5
2902,پانا پی سی,شیراز,5,1
2903,پروژکتور برتر,تهران,5,7
2904,اسکات استور,مشهد,5,10
2905,نیکاسه,تبریز,5,6
2906,منطقه آزاد ایرانیان دیجیتال,هادیشهر,5,12
2907,ریواس ارگانیک,قم,5,1
2908,تی سی شاپ,تهران,5,2
2909,شیائومی 360,تهران,5,5
2910,از کجا دات شاپ,تهران,5,1
2911,گلفروشی لوکس انگور,تهران,5,1
2912,موبوتو,ارومیه,5,5
2913,تیم علاءالدین,تهران,5,27
2914,آرینا تجارت,تهران,4,12
2915,بی کی شاپ,,5,7
2916,فوکا فون,تهران,5,4
2917,مهندس,,5,1
2918,وی آی پی جانبی,تهران,5,2
2919,چرخچی,بابل,4,5
2920,دونلی,شیراز,5,10
2921,کاماسان,همدان,5,7
2922,سورن آنلاین,تهران,5,1
2923,کلوت کالا,کرمان,5,10
2924,موبایل سنتر,شیراز,5,1
2925,فِلاپی,تهران,5,7
2926,شیائومی سیتی,تهران,5,3
2927,برآیندشاپ,تهران,5,1
2928,ندای همراه,ابرکوه,5,5
2929,تاجر۲۴,قم,5,1
2930,وارکالا,تهران,5,3
2931,دکترباتری,چناران,5,3
2932,ظفرکالا,شیراز,5,2
2933,کلید کالا,بانه,5,3
2934,بابانو,کرج,5,3
2935,بازرگانی بیگی,اصفهان,5,1
2936,موبایل ملل,کردکوی,5,3
2937,همراه برتر,تهران,3,3
2938,بازار شبکه,تهران,5,6
2939,نشت آپ,تهران,5,7
2940,گلچین,دماوند,5,1
2941,فنجون,تهران,5,7
2942,ایمن کالا مارکت,تهران,5,18
2943,اشکان کالا,هندیجان,5,1
2944,فارس سیستم,شیراز,5,3
2945,دیدار مارکت,رباطکریم,5,8
2946,ساتل دیجیتال,تهران,5,6
2947,طنین,الیگودرز,5,1
2948,گلدن شیائومی,تهران,5,3
2949,هواوی رشت,رشت,5,4
2950,آرکارنو,تهران,5,7
2951,کافه کادو,تهران,4,3
2952,تایمازتل,فردیس,5,4
2953,پانیک کالا,شاهین شهر,5,8
2954,موبایل الهی دوست,,5,5
2955,نوین رایانه,گرگان,5,3
2956,کافه قیمت,بانه,4,6
2957,امداد موبایل,تهران,5,7
