id,name,price,count_of_merchant,url_address
34489,گوشی سامسونگ A01 Core حافظه 32 رم 2 گیگابایت,1750000,54,http://torob.com/p/47bac7fd-5019-49ea-97b3-4fdd0b3cf814/گوشی سامسونگ A01 Core حافظه 32 رم 2 گیگابایت
34490,گوشی سامسونگ M62 حافظه 128 رم 8 گیگابایت,8900000,25,http://torob.com/p/250e13c7-d37d-4f0a-9a22-314528c0a0fe/گوشی سامسونگ M62 حافظه 128 رم 8 گیگابایت
34491,گوشی سامسونگ S21 5G حافظه 128 رم 8 گیگابایت,15997000,29,http://torob.com/p/0b57d1fc-faac-4e4e-8be8-ff1595dd26e1/گوشی سامسونگ S21 5G حافظه 128 رم 8 گیگابایت
34492,گوشی سامسونگ A32 5G حافظه 128 رم 6 گیگابایت,5250000,30,http://torob.com/p/ff960963-5fe5-4acf-a6f2-19140a6f3005/گوشی سامسونگ A32 5G حافظه 128 رم 6 گیگابایت
34493,گوشی نوکیا 2018 106 ظرفیت ۴ مگابایت,254150,59,http://torob.com/p/9b284603-547a-47b8-bbbe-081c69af4dfd/گوشی نوکیا 2018 106 ظرفیت ۴ مگابایت
34494,گوشی سامسونگ A12 حافظه 128 رم 6 گیگابایت,4378000,11,http://torob.com/p/a7fe3c0b-e150-4efa-a948-124929ec4175/گوشی سامسونگ A12 حافظه 128 رم 6 گیگابایت
34495, گوشی سامسونگ Note 20 Ultra LTE حافظه 256 رم 8 گیگابایت,20794000,50,http://torob.com/p/4a0dffdc-6b32-411e-9398-e3bd860bcc15/ گوشی سامسونگ Note 20 Ultra LTE حافظه 256 رم 8 گیگابایت
34496,گوشی سامسونگ S20 Fe حافظه 128 رم 6 گیگابایت,10300000,34,http://torob.com/p/61b81d29-bc10-477c-b527-93f96d58ffdd/گوشی سامسونگ S20 Fe حافظه 128 رم 6 گیگابایت
34497,گوشی سامسونگ A51 حافظه 128 رم 4 گیگابایت,5710000,45,http://torob.com/p/811cfafd-c124-439f-bf87-e42873010fa8/گوشی سامسونگ A51 حافظه 128 رم 4 گیگابایت
34498,گوشی سامسونگ A32 حافظه 128 رم 8 گیگابایت,5599000,13,http://torob.com/p/918f1ea2-bb87-4f2d-b4e1-acfebc398ae7/گوشی سامسونگ A32 حافظه 128 رم 8 گیگابایت
34499,گوشی سامسونگ A72 حافظه 128 رم 8 گیگابایت,10120000,31,http://torob.com/p/1e08f96c-f390-44c9-8f51-b4608b92fef5/گوشی سامسونگ A72 حافظه 128 رم 8 گیگابایت
34500,گوشی اپل آیفون 11 Pro Max حافظه 256 رم 4 گیگابایت,27000000,13,http://torob.com/p/c013e775-95bf-4250-830e-04361031f26e/گوشی اپل آیفون 11 Pro Max حافظه 256 رم 4 گیگابایت
34501,گوشی شیائومی Redmi Note 9T 5G حافظه 64 رم 4 گیگابایت,4420000,44,http://torob.com/p/0cf8a0ab-109a-4212-918a-579e554f6c39/گوشی شیائومی Redmi Note 9T 5G حافظه 64 رم 4 گیگابایت
34502,Apple  iPhone SE 2020 64GB,11450000,44,http://torob.com/p/f3d7efbb-6888-46b5-a8b6-72d1df4bbd50/Apple  iPhone SE 2020 64GB
34503,گوشی هوآوی Y8p حافظه 128 رم 4 گیگابایت,3799000,34,http://torob.com/p/d6cdb991-f0ea-4d35-811a-2bd84864f08f/گوشی هوآوی Y8p حافظه 128 رم 4 گیگابایت
34504,گوشی سامسونگ S20 Plus 5G حافظه 128 رم 12 گیگابایت,16800000,29,http://torob.com/p/225aad36-2581-4106-a825-c293d48eb815/گوشی سامسونگ S20 Plus 5G حافظه 128 رم 12 گیگابایت
34505,گوشی شیائومی Mi 11 حافظه 128 رم 8 گیگابایت,20199000,3,http://torob.com/p/6431ab74-1816-4408-887f-a0046f4626f9/گوشی شیائومی Mi 11 حافظه 128 رم 8 گیگابایت
34506,گوشی اپل آیفون XS حافظه 256 رم 4 گیگابایت,15400000,6,http://torob.com/p/65eca43d-1ecd-45a5-8582-269d7949a851/گوشی اپل آیفون XS حافظه 256 رم 4 گیگابایت
34507,گوشی نوکیا 3.4 حافظه 64 رم 3 گیگابایت,2639000,21,http://torob.com/p/6f56c69c-ba8e-4dc5-af19-3fbeb650020b/گوشی نوکیا 3.4 حافظه 64 رم 3 گیگابایت
34508,گوشی سامسونگ A32 5G حافظه 128 رم 4 گیگابایت,6800000,4,http://torob.com/p/c6abccd5-b281-437a-b157-821b051980ca/گوشی سامسونگ A32 5G حافظه 128 رم 4 گیگابایت
34509,گوشی شیائومی Redmi 9C حافظه 32 رم 2 گیگابایت,2680000,40,http://torob.com/p/043e53c5-efb4-429e-9184-bfe583e54daa/گوشی شیائومی Redmi 9C حافظه 32 رم 2 گیگابایت
34510,گوشی سامسونگ A71 حافظه 128 رم 6 گیگابایت,8307000,30,http://torob.com/p/b621007b-6b19-4649-a917-b32c47af8a46/گوشی سامسونگ A71 حافظه 128 رم 6 گیگابایت
34511,Nokia  5310 (2020),750000,39,http://torob.com/p/c63524a4-15df-42a9-96d6-895c7ea0ac7e/Nokia  5310 (2020)
34512,گوشی شیائومی Mi 10T Lite 5G حافظه 128 رم 6 گیگابایت,7369000,27,http://torob.com/p/1ec5e1d0-3948-49c7-8050-6668febd60b7/گوشی شیائومی Mi 10T Lite 5G حافظه 128 رم 6 گیگابایت
34513,گوشی اپل آیفون 11 Pro حافظه 256 رم 4 گیگابایت,25300000,12,http://torob.com/p/f6f15abe-fac0-4630-bbe4-e43db5383aef/گوشی اپل آیفون 11 Pro حافظه 256 رم 4 گیگابایت
34514,گوشی سامسونگ A42 5G حافظه 128 رم 6 گیگابایت,7199000,28,http://torob.com/p/b4a6a671-1ca8-4efe-b3ef-a56c47c91a07/گوشی سامسونگ A42 5G حافظه 128 رم 6 گیگابایت
34515,گوشی اپل آیفون X حافظه 64 رم 3 گیگابایت,13350000,6,http://torob.com/p/125936c3-9d04-4fee-ad18-e09270aa3aaa/گوشی اپل آیفون X حافظه 64 رم 3 گیگابایت
34516,گوشی سامسونگ S20 Ultra 5G حافظه 128 رم 12 گیگابایت,18950000,30,http://torob.com/p/40c61a89-fc11-4473-bede-682f8d6504ff/گوشی سامسونگ S20 Ultra 5G حافظه 128 رم 12 گیگابایت
34517,گوشی نوکیا  5.4 حافظه 128 رم 4 گیگابایت,3710000,10,http://torob.com/p/238eef32-614b-4112-bd37-468e0989c984/گوشی نوکیا  5.4 حافظه 128 رم 4 گیگابایت
34518,گوشی شیائومی Redmi Note 9 pro حافظه 64 رم 6 گیگابایت,5799000,44,http://torob.com/p/0cae47fc-bd79-4cfa-bcbc-27756fa326a0/گوشی شیائومی Redmi Note 9 pro حافظه 64 رم 6 گیگابایت
34519,گوشی جی پلاس Q10 حافظه 32 رم 3 گیگابایت,1799000,26,http://torob.com/p/8189d426-5860-4475-873e-8ddf7e3099bc/گوشی جی پلاس Q10 حافظه 32 رم 3 گیگابایت
34520,گوشی اپل آیفون 7 Plus ظرفیت 128 گیگابایت,9499000,8,http://torob.com/p/74d6f1d9-2628-4009-8bfe-e59d627b6058/گوشی اپل آیفون 7 Plus ظرفیت 128 گیگابایت
34521,گوشی شیائومی Mi Note 10 Lite حافظه 128 رم 6 گیگابایت,9480000,9,http://torob.com/p/01b0921f-d9ec-4daa-82b9-c1ec8fafadeb/گوشی شیائومی Mi Note 10 Lite حافظه 128 رم 6 گیگابایت
34522,گوشی اپل آیفون XS Max حافظه 256 گیگابایت,18400000,6,http://torob.com/p/92bee6d0-32df-41f3-86af-2a920dec17cc/گوشی اپل آیفون XS Max حافظه 256 گیگابایت
34523,گوشی سامسونگ M51 حافظه 128 رم 6 گیگابایت ,8278000,20,http://torob.com/p/d463ad23-ec3a-4fee-bf7e-82a44bc3568e/گوشی سامسونگ M51 حافظه 128 رم 6 گیگابایت 
34524,گوشی اپل آیفون XR ظرفیت 128 گیگابایت,15200000,10,http://torob.com/p/4d44867a-14dd-4121-ad1e-d32076e3eeba/گوشی اپل آیفون XR ظرفیت 128 گیگابایت
34525,گوشی موتورولا Moto G 5G Plus حافظه 128 رم 8 گیگابایت,6830000,23,http://torob.com/p/2d14c787-1203-4161-9cf4-7584a5f5b88d/گوشی موتورولا Moto G 5G Plus حافظه 128 رم 8 گیگابایت
34526,گوشی شیائومی Redmi Note 8 حافظه 128 رم 4 گیگابایت,4700000,19,http://torob.com/p/df4b4101-dfc9-420f-943d-24da2f3c1c57/گوشی شیائومی Redmi Note 8 حافظه 128 رم 4 گیگابایت
